               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.030823,            0.013162,              0.0104,              0.9308,             0.91002,              0.9502,             0.57258,            0.016675,           0.0039763,           0.0053904,           0.0090694,           0.0090694,           0.0090694
                  49,            0.026067,            0.012309,           0.0074219,             0.89456,             0.92964,              0.9539,             0.48054,            0.017263,           0.0042985,           0.0090526,           0.0090496,           0.0090496,           0.0090496
                  50,            0.030536,            0.013014,            0.011474,             0.94678,             0.89039,             0.97059,             0.53619,            0.019734,           0.0043256,           0.0037548,           0.0090298,           0.0090298,           0.0090298
                  51,            0.031564,            0.013322,            0.011676,             0.91112,             0.93785,             0.96706,             0.58752,            0.016535,           0.0043092,           0.0027957,             0.00901,             0.00901,             0.00901
                  52,            0.031388,            0.014168,            0.012861,             0.83101,             0.91742,             0.92836,             0.53829,            0.017229,           0.0043146,           0.0034732,           0.0089902,           0.0089902,           0.0089902
                  53,            0.033142,            0.013535,           0.0090241,             0.86525,             0.95946,             0.93795,              0.5888,            0.018121,           0.0040095,           0.0033122,           0.0089704,           0.0089704,           0.0089704
                  54,            0.032514,            0.013895,            0.014812,             0.89115,              0.9039,             0.93506,              0.6042,            0.017564,           0.0037264,           0.0038335,           0.0089506,           0.0089506,           0.0089506
                  55,            0.029014,            0.012879,           0.0091033,             0.88961,             0.83176,              0.8759,             0.40617,            0.022234,           0.0048111,           0.0040994,           0.0089308,           0.0089308,           0.0089308
                  56,            0.031253,            0.013284,            0.010761,             0.89593,             0.89039,             0.91094,             0.63373,            0.016506,           0.0038061,           0.0034231,            0.008911,            0.008911,            0.008911
                  57,            0.029283,            0.013067,            0.011359,             0.89972,             0.92514,             0.95996,             0.66767,            0.017061,            0.003654,           0.0029368,           0.0088912,           0.0088912,           0.0088912
                  58,             0.03114,            0.013393,            0.011727,             0.92847,             0.96759,             0.96468,             0.66003,            0.015562,           0.0034224,           0.0029416,           0.0088714,           0.0088714,           0.0088714
                  59,            0.031205,            0.013381,             0.01215,             0.74884,             0.81006,             0.79635,             0.32484,            0.023791,           0.0062091,            0.011576,           0.0088516,           0.0088516,           0.0088516
                  60,            0.034902,            0.012848,            0.020078,             0.72996,             0.63889,             0.63219,             0.32602,            0.024436,           0.0053083,            0.023327,           0.0088318,           0.0088318,           0.0088318
                  61,            0.033046,            0.013051,            0.014086,             0.37036,             0.51426,             0.51351,             0.22345,            0.022832,           0.0053758,            0.033318,            0.008812,            0.008812,            0.008812
                  62,            0.030516,            0.012944,            0.015369,             0.86503,             0.84428,             0.85679,             0.45706,            0.020216,            0.004864,            0.024439,           0.0087922,           0.0087922,           0.0087922
                  63,            0.024919,            0.013389,            0.011753,              0.8585,             0.80631,              0.8556,             0.47535,            0.018631,           0.0044557,            0.021249,           0.0087724,           0.0087724,           0.0087724
                  64,            0.033767,            0.012483,            0.013216,             0.91299,             0.97297,             0.95706,             0.60015,            0.016721,           0.0038798,           0.0028607,           0.0087526,           0.0087526,           0.0087526
                  65,            0.029668,            0.012396,            0.012621,             0.91829,             0.91314,             0.93724,              0.6085,            0.016607,           0.0039105,           0.0049834,           0.0087328,           0.0087328,           0.0087328
                  66,            0.027002,            0.013056,            0.011825,             0.90374,             0.97297,             0.96008,             0.61687,            0.016049,           0.0040171,           0.0020306,            0.008713,            0.008713,            0.008713
                  67,            0.027267,            0.012908,           0.0091428,             0.92066,             0.93168,              0.9636,             0.61871,            0.016124,           0.0040203,           0.0022992,           0.0086932,           0.0086932,           0.0086932
                  68,            0.028145,            0.012645,            0.011591,             0.84179,             0.93243,             0.91814,             0.54513,            0.019525,           0.0044028,           0.0044234,           0.0086734,           0.0086734,           0.0086734
                  69,            0.028718,            0.012422,           0.0091885,             0.87745,             0.91892,             0.91562,             0.56455,             0.01705,           0.0043797,           0.0051071,           0.0086536,           0.0086536,           0.0086536
                  70,            0.034281,            0.013257,            0.014033,             0.90032,             0.95304,             0.93515,             0.56126,            0.018041,           0.0041079,           0.0039716,           0.0086338,           0.0086338,           0.0086338
                  71,            0.026844,            0.012768,            0.010049,             0.94567,             0.97297,              0.9628,             0.55299,            0.016801,           0.0043655,           0.0022018,            0.008614,            0.008614,            0.008614
